,model,seed,b,pion,metric,value
280,learn_3,61453,5.0,211,eta_w1_0,0.14447559559717776
281,learn_3,61453,5.0,211,v1,0.04482278278311301
282,learn_3,61453,5.0,211,v2,0.016582228035921978
283,learn_3,61453,5.0,211,v3,0.059545092755481026
284,learn_3,61453,5.0,211,pt,6.9399999999999995
285,learn_3,61453,5.0,211,e,6.425000000000001
286,learn_3,61453,5.0,-211,e_kl,0.04745228507466277
287,learn_3,61453,5.0,-211,e_w1,0.040720636186354166
288,learn_3,61453,5.0,-211,eta_kl,0.0037761592806806687
289,learn_3,61453,5.0,-211,eta_w1,0.04459828472951006
290,learn_3,61453,5.0,-211,e_kl_0,0.030053860872049688
291,learn_3,61453,5.0,-211,e_w1_0,0.03945203751325607
292,learn_3,61453,5.0,-211,eta_kl_0,0.04079050708292752
293,learn_3,61453,5.0,-211,eta_w1_0,0.17763225095462987
294,learn_3,61453,5.0,-211,v1,0.009324921074845264
295,learn_3,61453,5.0,-211,v2,0.005359623180017831
296,learn_3,61453,5.0,-211,v3,0.009569643987307242
297,learn_3,61453,5.0,-211,pt,6.9399999999999995
298,learn_3,61453,5.0,-211,e,6.425000000000001
299,learn_3,61453,5.0,111,e_kl,0.0441234830728404
300,learn_3,61453,5.0,111,e_w1,0.037640956724223684
301,learn_3,61453,5.0,111,eta_kl,0.004860011601777892
302,learn_3,61453,5.0,111,eta_w1,0.025830682544033274
303,learn_3,61453,5.0,111,e_kl_0,0.1157232250640122
304,learn_3,61453,5.0,111,e_w1_0,0.09192877814173697
305,learn_3,61453,5.0,111,eta_kl_0,0.02154498444381144
306,learn_3,61453,5.0,111,eta_w1_0,0.22040567821357399
307,learn_3,61453,5.0,111,v1,0.01161887446173358
308,learn_3,61453,5.0,111,v2,0.020117386550631524
309,learn_3,61453,5.0,111,v3,0.003857700418812617
310,learn_3,61453,5.0,111,pt,6.9399999999999995
311,learn_3,61453,5.0,111,e,6.425000000000001
312,learn_4,61453,1.7,211,e_kl,0.039108945332903176
313,learn_4,61453,1.7,211,e_w1,0.04420887846677074
314,learn_4,61453,1.7,211,eta_kl,0.005872781232081147
315,learn_4,61453,1.7,211,eta_w1,0.033414374075122204
316,learn_4,61453,1.7,211,e_kl_0,0.11179067810470907
317,learn_4,61453,1.7,211,e_w1_0,0.09655488550662995
318,learn_4,61453,1.7,211,eta_kl_0,0.024629418940009792
319,learn_4,61453,1.7,211,eta_w1_0,0.10298980028368533
320,learn_4,61453,1.7,211,v1,0.00507650042839918
321,learn_4,61453,1.7,211,v2,0.037145199630059966
322,learn_4,61453,1.7,211,v3,0.015480117748602312
323,learn_4,61453,1.7,211,pt,8.73
324,learn_4,61453,1.7,211,e,8.5725
325,learn_4,61453,1.7,-211,e_kl,0.04776369450419419
326,learn_4,61453,1.7,-211,e_w1,0.05355305244525276
327,learn_4,61453,1.7,-211,eta_kl,0.004791211133746295
328,learn_4,61453,1.7,-211,eta_w1,0.04010628963124914
329,learn_4,61453,1.7,-211,e_kl_0,0.09571920944935776
330,learn_4,61453,1.7,-211,e_w1_0,0.08100350946187974
331,learn_4,61453,1.7,-211,eta_kl_0,0.01878895000422902
332,learn_4,61453,1.7,-211,eta_w1_0,0.12669965530978516
333,learn_4,61453,1.7,-211,v1,0.00859375089492129
334,learn_4,61453,1.7,-211,v2,0.00790035249795157
335,learn_4,61453,1.7,-211,v3,0.006666253284447226
336,learn_4,61453,1.7,-211,pt,8.73
337,learn_4,61453,1.7,-211,e,8.5725
338,learn_4,61453,1.7,111,e_kl,0.048902166013892245
339,learn_4,61453,1.7,111,e_w1,0.0648849531227634
340,learn_4,61453,1.7,111,eta_kl,0.003602585699316158
341,learn_4,61453,1.7,111,eta_w1,0.034223200223260336
342,learn_4,61453,1.7,111,e_kl_0,0.12426127672736668
343,learn_4,61453,1.7,111,e_w1_0,0.13878039449453355
344,learn_4,61453,1.7,111,eta_kl_0,0.014234566958099321
